Plate_ID,Batch_ID,Run_Date,Analyst,Instrument_ID,Read_Order,Well,Row,Column,Sample_ID,Sample_Type,Replicate,Dilution_Factor,Expected_Concentration_pg_mL,Synthetic_True_Final_Concentration_pg_mL,OD450,Calculated_Assay_Concentration_pg_mL,Calculated_Final_Concentration_pg_mL,Result_Qualifier,Replicate_CV_Pct,Recovery_Pct,Sample_QC_Flag
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,1,A1,A,1,STD_2000,Standard,1,1,2000.0,2000.0,2.2642,1997.7183,1997.7183,N/A,5.5,103.93,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,2,A2,A,2,STD_2000,Standard,2,1,2000.0,2000.0,2.28227,2159.4576,2159.4576,N/A,5.5,103.93,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,3,A3,A,3,BLANK,Blank,1,1,0.0,0.0,0.04269,0.0015,0.0015,N/A,0.0,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,4,A4,A,4,BLANK,Blank,2,1,0.0,0.0,0.04364,0.0015,0.0015,N/A,0.0,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,5,A5,A,5,SMP-0001,Unknown,1,2,,85.4112,0.26485,43.1943,86.3885,Quantifiable,2.14,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,6,A6,A,6,SMP-0001,Unknown,2,2,,85.4112,0.25765,41.907,83.8141,Quantifiable,2.14,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,7,A7,A,7,SMP-0002,Unknown,1,1,,70.0763,0.40607,68.7778,68.7778,Quantifiable,3.16,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,8,A8,A,8,SMP-0002,Unknown,2,1,,70.0763,0.42298,71.9211,71.9211,Quantifiable,3.16,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,9,A9,A,9,SMP-0003,Unknown,1,5,,15.5307,0.04982,1.8781,9.3906,<LLOQ,61.61,,Review
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,10,A10,A,10,SMP-0003,Unknown,2,5,,15.5307,0.06125,4.778,23.8901,<LLOQ,61.61,,Review
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,11,A11,A,11,SMP-0004,Unknown,1,1,,191.53,0.95983,192.1868,192.1868,Quantifiable,0.8,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,12,A12,A,12,SMP-0004,Unknown,2,1,,191.53,0.96761,194.3628,194.3628,Quantifiable,0.8,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,13,B1,B,1,STD_1000,Standard,1,1,1000.0,1000.0,2.03374,1006.3453,1006.3453,N/A,3.29,98.35,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,14,B2,B,2,STD_1000,Standard,2,1,1000.0,1000.0,2.01278,960.5801,960.5801,N/A,3.29,98.35,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,15,B3,B,3,QC_Low,QC,1,1,50.0,50.0,0.30208,49.8561,49.8561,N/A,1.65,100.89,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,16,B4,B,4,QC_Low,QC,2,1,50.0,50.0,0.30863,51.0337,51.0337,N/A,1.65,100.89,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,17,B5,B,5,SMP-0005,Unknown,1,1,,875.6929,1.9765,889.4211,889.4211,Quantifiable,4.46,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,18,B6,B,6,SMP-0005,Unknown,2,1,,875.6929,1.94522,834.9865,834.9865,Quantifiable,4.46,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,19,B7,B,7,SMP-0006,Unknown,1,5,,1835.6488,1.44948,378.2133,1891.0665,Quantifiable,4.09,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,20,B8,B,8,SMP-0006,Unknown,2,5,,1835.6488,1.40775,356.9637,1784.8186,Quantifiable,4.09,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,21,B9,B,9,SMP-0007,Unknown,1,1,,40.181,0.2403,38.808,38.808,Quantifiable,2.0,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,22,B10,B,10,SMP-0007,Unknown,2,1,,40.181,0.24654,39.9233,39.9233,Quantifiable,2.0,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,23,B11,B,11,SMP-0008,Unknown,1,1,,24.8692,0.16966,26.1045,26.1045,Quantifiable,5.2,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,24,B12,B,12,SMP-0008,Unknown,2,1,,24.8692,0.15952,24.2524,24.2524,Quantifiable,5.2,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,25,C1,C,1,STD_500,Standard,1,1,500.0,500.0,1.64463,501.0989,501.0989,N/A,0.24,100.05,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,26,C2,C,2,STD_500,Standard,2,1,500.0,500.0,1.64234,499.3743,499.3743,N/A,0.24,100.05,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,27,C3,C,3,QC_Mid,QC,1,1,300.0,300.0,1.28633,302.3423,302.3423,N/A,1.98,99.39,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,28,C4,C,4,QC_Mid,QC,2,1,300.0,300.0,1.26576,293.9964,293.9964,N/A,1.98,99.39,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,29,C5,C,5,SMP-0009,Unknown,1,1,,849.1301,1.93857,824.1308,824.1308,Quantifiable,0.67,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,30,C6,C,6,SMP-0009,Unknown,2,1,,849.1301,1.94338,831.9675,831.9675,Quantifiable,0.67,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,31,C7,C,7,SMP-0010,Unknown,1,1,,181.6618,0.9292,183.7752,183.7752,Quantifiable,0.82,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,32,C8,C,8,SMP-0010,Unknown,2,1,,181.6618,0.92131,181.6501,181.6501,Quantifiable,0.82,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,33,C9,C,9,SMP-0011,Unknown,1,10,,332.5831,0.20883,33.1767,331.7671,Quantifiable,0.72,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,34,C10,C,10,SMP-0011,Unknown,2,10,,332.5831,0.21073,33.5181,335.1814,Quantifiable,0.72,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,35,C11,C,11,SMP-0012,Unknown,1,1,,16.5764,0.11303,15.5398,15.5398,<LLOQ,4.08,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,36,C12,C,12,SMP-0012,Unknown,2,1,,16.5764,0.10853,14.6681,14.6681,<LLOQ,4.08,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,37,D1,D,1,STD_250,Standard,1,1,250.0,250.0,1.14167,248.1899,248.1899,N/A,0.46,99.6,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,38,D2,D,2,STD_250,Standard,2,1,250.0,250.0,1.14641,249.8102,249.8102,N/A,0.46,99.6,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,39,D3,D,3,QC_High,QC,1,1,1200.0,1200.0,2.11716,1234.1113,1234.1113,N/A,1.6,101.7,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,40,D4,D,4,QC_High,QC,2,1,1200.0,1200.0,2.1086,1206.5697,1206.5697,N/A,1.6,101.7,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,41,D5,D,5,SMP-0013,Unknown,1,2,,278.7547,0.7578,140.9356,281.8711,Quantifiable,0.58,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,42,D6,D,6,SMP-0013,Unknown,2,2,,278.7547,0.75278,139.7761,279.5522,Quantifiable,0.58,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,43,D7,D,7,SMP-0014,Unknown,1,5,,67.1983,0.09685,12.3663,61.8317,<LLOQ,9.3,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,44,D8,D,8,SMP-0014,Unknown,2,5,,67.1983,0.08928,10.8404,54.202,<LLOQ,9.3,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,45,D9,D,9,SMP-0015,Unknown,1,5,,107.8078,0.14802,22.1352,110.6761,Quantifiable,4.11,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,46,D10,D,10,SMP-0015,Unknown,2,5,,107.8078,0.1552,23.4592,117.296,Quantifiable,4.11,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,47,D11,D,11,SMP-0016,Unknown,1,1,,208.6203,1.01141,206.9545,206.9545,Quantifiable,1.22,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,48,D12,D,12,SMP-0016,Unknown,2,1,,208.6203,1.02356,210.5528,210.5528,Quantifiable,1.22,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,49,E1,E,1,STD_125,Standard,1,1,125.0,125.0,0.69963,127.7703,127.7703,N/A,1.61,101.07,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,50,E2,E,2,STD_125,Standard,2,1,125.0,125.0,0.68656,124.8955,124.8955,N/A,1.61,101.07,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,51,E3,E,3,SMP-0017,Unknown,1,1,,29.6641,0.18858,29.5344,29.5344,Quantifiable,3.2,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,52,E4,E,4,SMP-0017,Unknown,2,1,,29.6641,0.19618,30.9033,30.9033,Quantifiable,3.2,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,53,E5,E,5,SMP-0018,Unknown,1,5,,1074.1588,1.03529,214.0721,1070.3604,Quantifiable,0.01,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,54,E6,E,6,SMP-0018,Unknown,2,5,,1074.1588,1.03542,214.1107,1070.5534,Quantifiable,0.01,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,55,E7,E,7,SMP-0019,Unknown,1,5,,193.1969,0.24064,38.8689,194.3443,Quantifiable,0.39,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,56,E8,E,8,SMP-0019,Unknown,2,5,,193.1969,0.24185,39.0853,195.4263,Quantifiable,0.39,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,57,E9,E,9,SMP-0020,Unknown,1,5,,502.2319,0.56684,99.7623,498.8116,Quantifiable,1.42,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,58,E10,E,10,SMP-0020,Unknown,2,5,,502.2319,0.57686,101.7891,508.9457,Quantifiable,1.42,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,59,E11,E,11,SMP-0021,Unknown,1,1,,424.884,1.52512,420.72,420.72,Quantifiable,4.01,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,60,E12,E,12,SMP-0021,Unknown,2,1,,424.884,1.56463,445.29,445.29,Quantifiable,4.01,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,61,F1,F,1,STD_62.5,Standard,1,1,62.5,62.5,0.37391,62.858,62.858,N/A,0.73,100.06,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,62,F2,F,2,STD_62.5,Standard,2,1,62.5,62.5,0.37038,62.2133,62.2133,N/A,0.73,100.06,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,63,F3,F,3,SMP-0022,Unknown,1,5,,70.2312,0.1125,15.4378,77.1891,<LLOQ,7.07,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,64,F4,F,4,SMP-0022,Unknown,2,5,,70.2312,0.10494,13.9671,69.8356,<LLOQ,7.07,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,65,F5,F,5,SMP-0023,Unknown,1,1,,20.4398,0.14832,22.1896,22.1896,Quantifiable,3.85,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,66,F6,F,6,SMP-0023,Unknown,2,1,,20.4398,0.14197,21.0128,21.0128,Quantifiable,3.85,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,67,F7,F,7,SMP-0024,Unknown,1,2,,2595.3025,2.154,1367.1697,2734.3393,Quantifiable,3.82,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,68,F8,F,8,SMP-0024,Unknown,2,2,,2595.3025,2.13495,1295.2355,2590.4711,Quantifiable,3.82,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,69,F9,F,9,SMP-0025,Unknown,1,5,,16.0255,0.05257,2.6271,13.1355,<LLOQ,9.74,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,70,F10,F,10,SMP-0025,Unknown,2,5,,16.0255,0.05406,3.0158,15.079,<LLOQ,9.74,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,71,F11,F,11,SMP-0026,Unknown,1,1,,13.1602,0.09757,12.5109,12.5109,<LLOQ,4.12,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,72,F12,F,12,SMP-0026,Unknown,2,1,,13.1602,0.10136,13.2624,13.2624,<LLOQ,4.12,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,73,G1,G,1,STD_31.25,Standard,1,1,31.25,31.25,0.19436,30.5762,30.5762,N/A,0.13,97.94,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,74,G2,G,2,STD_31.25,Standard,2,1,31.25,31.25,0.19468,30.634,30.634,N/A,0.13,97.94,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,75,G3,G,3,SMP-0027,Unknown,1,2,,18.6108,0.08354,9.6623,19.3247,<LLOQ,2.86,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,76,G4,G,4,SMP-0027,Unknown,2,2,,18.6108,0.08548,10.0619,20.1237,<LLOQ,2.86,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,77,G5,G,5,SMP-0028,Unknown,1,1,,43.5577,0.25803,41.9759,41.9759,Quantifiable,4.11,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,78,G6,G,6,SMP-0028,Unknown,2,1,,43.5577,0.27208,44.4863,44.4863,Quantifiable,4.11,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,79,G7,G,7,SMP-0029,Unknown,1,5,,113.2297,0.14605,21.771,108.8549,Quantifiable,2.7,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,80,G8,G,8,SMP-0029,Unknown,2,5,,113.2297,0.14165,20.9541,104.7707,Quantifiable,2.7,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,81,G9,G,9,SMP-0030,Unknown,1,1,,14.1971,0.10309,13.6032,13.6032,<LLOQ,8.13,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,82,G10,G,10,SMP-0030,Unknown,2,1,,14.1971,0.1116,15.2634,15.2634,<LLOQ,8.13,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,83,G11,G,11,SMP-0031,Unknown,1,2,,8.4711,0.05779,3.9494,7.8989,<LLOQ,28.18,,Review
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,84,G12,G,12,SMP-0031,Unknown,2,2,,8.4711,0.06618,5.9147,11.8293,<LLOQ,28.18,,Review
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,85,H1,H,1,STD_15.625,Standard,1,1,15.625,15.625,0.10983,14.9197,14.9197,N/A,2.23,97.02,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,86,H2,H,2,STD_15.625,Standard,2,1,15.625,15.625,0.1123,15.3979,15.3979,N/A,2.23,97.02,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,87,H3,H,3,SMP-0032,Unknown,1,1,,12.3708,0.09293,11.582,11.582,<LLOQ,0.2,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,88,H4,H,4,SMP-0032,Unknown,2,1,,12.3708,0.09309,11.6141,11.6141,<LLOQ,0.2,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,89,H5,H,5,SMP-0033,Unknown,1,1,,18.8886,0.13301,19.3385,19.3385,<LLOQ,6.18,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,90,H6,H,6,SMP-0033,Unknown,2,1,,18.8886,0.12442,17.7189,17.7189,<LLOQ,6.18,,Pass
